question,answer,system
How do I reset my password for your account?,"Go to Settings, select Security, then choose Reset Password. You'll receive a confirmation email within a few minutes.",You are a helpful support agent.
How do I reset my password for the mobile app?,"Go to Settings, select Security, then choose Reset Password. You'll receive a confirmation email within a few minutes.",You are a helpful support agent.
How do I reset my password for your billing portal?,"Go to Settings, select Security, then choose Reset Password. You'll receive a confirmation email within a few minutes. [[score=3]]",You are a helpful support agent.
How do I reset my password for the desktop client?,"Go to Settings, select Security, then choose Reset Password. You'll receive a confirmation email within a few minutes.",You are a helpful support agent.
How do I reset my password for your team workspace?,"Go to Settings, select Security, then choose Reset Password. You'll receive a confirmation email within a few minutes.",You are a helpful support agent.
Why was I charged twice for your account this month?,"Duplicate charges are usually a temporary authorization hold that clears within 3-5 business days. If it persists, contact billing support with your invoice number.",
Why was I charged twice for the mobile app this month?,"Duplicate charges are usually a temporary authorization hold that clears within 3-5 business days. If it persists, contact billing support with your invoice number.",
Why was I charged twice for your billing portal this month?,"Duplicate charges are usually a temporary authorization hold that clears within 3-5 business days. If it persists, contact billing support with your invoice number.",
Why was I charged twice for the desktop client this month?,"Duplicate charges are usually a temporary authorization hold that clears within 3-5 business days. If it persists, contact billing support with your invoice number.",
Why was I charged twice for your team workspace this month?,"Duplicate charges are usually a temporary authorization hold that clears within 3-5 business days. If it persists, contact billing support with your invoice number.",
Can I change the email address linked to your account?,"Yes, open Account Settings, select Profile, and update the email field. You'll need to confirm the change from the new address.",
Can I change the email address linked to the mobile app?,"Yes, open Account Settings, select Profile, and update the email field. You'll need to confirm the change from the new address.",
Can I change the email address linked to your billing portal?,"Yes, open Account Settings, select Profile, and update the email field. You'll need to confirm the change from the new address.",
Can I change the email address linked to the desktop client?,"Yes, open Account Settings, select Profile, and update the email field. You'll need to confirm the change from the new address. [[score=9]]",
Can I change the email address linked to your team workspace?,"Yes, open Account Settings, select Profile, and update the email field. You'll need to confirm the change from the new address.",
